Mean Intensity,Median Intensity,Std Dev Intensity,Skewness,Kurtosis,Entropy,Edge Density,Date,country
0.3801277916714509,0.0,0.4391455689787138,0.3157595462166064,-2.005008317673118,1.0045682084189156,0.3324546496070147,2024-09-03,cz
0.3578471076196042,0.0,0.4262611195068575,0.3274844432003245,-1.71048476313713,1.0498983589670157,0.3406141776930743,2024-09-06,cz
0.3967589952329599,0.0,0.4513060912023222,0.2690975364951655,-1.747890387898989,1.080994977911721,0.3374198072664293,2024-09-08,cz
0.2201651820024409,0.0,0.3962262106584938,1.1724500045384123,-0.4236217778070203,0.7382719723715483,0.2628414156301308,2024-09-11,cz
0.1697407720261814,0.0,0.3473210702557923,1.5651822656742729,0.4199220429177178,0.6777485275457781,0.186226204980073,2024-09-15,cz
0.1464293530598849,0.0,0.3346382646704162,1.714521070028867,1.3553776187672717,0.6189880741019015,0.1857037261112149,2024-09-18,cz
0.119045079936409,0.0,0.2231565186044672,1.4175847990227146,-0.1893627304166426,0.7651328862630788,0.1248723432892119,2024-09-20,cz
0.2384006550436292,0.0,0.3999111880842871,0.9832522811016808,-0.8485712043449215,0.7753481434515673,0.2709701932045089,2024-09-23,cz
0.4283352,0.0,0.49483755,0.2896496940275152,-1.916103439694495,0.9851299234225142,0.3746162,2024-09-03,pl
0.41340843,0.0,0.49244478,0.351680443103998,-1.8763200817234271,0.97825558688905,0.39349982,2024-09-06,pl
0.43594548,0.0,0.49588,0.2583465691726614,-1.93325707118684,0.9881286960190536,0.37074557,2024-09-08,pl
0.23591378,0.0,0.4245686,1.2440212567487043,-0.4524109516846462,0.7881787392251671,0.28164268,2024-09-11,pl
0.1927943,0.0,0.39449286,1.5574707818880689,0.425716468178849,0.7072804365163006,0.21151872,2024-09-15,pl
0.16070206,0.0,0.367256,1.8477458118544687,1.4141660135212746,0.6359864864497549,0.20380457,2024-09-18,pl
0.22153519,0.0,0.41527984,1.341095177698759,-0.2014636964117926,0.7629608224951178,0.23237935,2024-09-20,pl
0.2621973,0.0,0.43982947,1.0813405974370145,-0.8307036246867368,0.8300440410095179,0.29801786,2024-09-23,pl
